Date,Open,High,Low,Close,Volume
6/13/2008,48.75,48.75,48.75,48.75,420
6/16/2008,50,50,50,50,500
6/17/2008,37.25,38,27.5,37.75,6163
6/18/2008,37.5,41.25,37.5,41.25,405
6/19/2008,41.25,41.25,41.25,41.25,500
6/20/2008,47.5,47.5,41.25,41.25,1650
6/23/2008,40,40,40,40,500
6/25/2008,38.25,40,38.25,40,600
6/26/2008,38.25,38.25,38.25,38.25,722
6/27/2008,47.5,47.5,47.5,47.5,100
6/30/2008,38.25,38.25,38.25,38.25,621
7/1/2008,38.25,38.25,38.25,38.25,3000
7/2/2008,40,40,40,40,500
7/3/2008,38.75,38.75,38.75,38.75,500
7/7/2008,38.75,50,38.75,42.5,13600
7/8/2008,43.75,43.75,43.75,43.75,7000
7/9/2008,40,40,40,40,1000
7/10/2008,40,40.25,39.5,39.75,3250
7/11/2008,39.5,39.5,39.5,39.5,1200
7/15/2008,39.5,40,39.5,40,1900
7/16/2008,40.25,41.25,40.25,41.25,2000
7/17/2008,41.25,41.25,41.25,41.25,500
7/18/2008,41.25,41.25,41.25,41.25,500
7/21/2008,40,40,39.5,39.5,1667
7/22/2008,39.5,39.5,39.5,39.5,657
7/23/2008,39.5,40,38.75,40,3573
7/24/2008,40,40,40,40,300
7/25/2008,39.5,39.5,39.5,39.5,997
7/29/2008,40,40,38.75,38.75,2680
7/30/2008,38.75,38.75,36.25,36.25,1584
7/31/2008,37.5,39.5,33.75,33.75,7200
8/1/2008,33.75,36,32.5,34.75,5532
8/4/2008,34.75,38.75,33.75,36.25,4950
8/5/2008,35,35,30,30,16624
8/6/2008,31.25,32.5,30,32.5,9810
8/7/2008,38.75,38.75,31.25,33.75,15543
8/8/2008,32.5,32.5,26.25,30,26800
8/11/2008,30,30,25.5,28.75,13050
8/12/2008,30.25,30.25,26.25,27.5,5100
8/13/2008,28,33.75,26.75,28.5,42650
8/14/2008,28.75,28.75,25.25,27.25,32417
8/15/2008,27.25,27.25,25.25,25.25,7070
8/18/2008,25.25,26.25,25.25,25.5,9130
8/19/2008,27,27.5,27,27,27000
8/20/2008,26.5,27.5,26.25,26.25,3611
8/21/2008,26.25,27.5,26.25,27.5,3800
8/22/2008,26,32.5,26,32.5,23574
8/25/2008,26,32.25,26,31.25,4900
8/26/2008,31.25,31.25,27.5,27.5,5650
8/27/2008,30,30,27,27.5,12750
8/28/2008,27.5,27.5,27,27,2500
8/29/2008,27.5,30,26.25,26.75,10492
9/2/2008,30,30,24.25,25,51032
9/3/2008,25,25,22.5,24.25,25500
9/4/2008,24.25,25,22.5,24,25400
9/5/2008,23,25,23,25,15549
9/8/2008,22.13,25.25,22.13,25.25,35190
9/9/2008,22.5,25,22.5,22.5,17491
9/10/2008,23.75,25,23.75,25,5500
9/11/2008,23,25,23,25,3758
9/12/2008,25,25,25,25,2500
9/15/2008,25,25,22.5,22.75,5800
9/16/2008,22.75,25,22.75,25,1219
9/17/2008,22.5,23.75,22.5,23.75,11300
9/18/2008,23.75,23.75,22.5,22.5,420
9/19/2008,23.75,24.25,22.5,24.25,44600
9/22/2008,25,25,24,25,2000
9/23/2008,24,25,22.75,25,11200
9/24/2008,23.75,24.75,23.75,23.75,1493
9/25/2008,25,25,22.5,25,10300
9/26/2008,25,25,21.25,23.75,3200
9/29/2008,21.25,23.5,21.25,23.5,5100
9/30/2008,20,23.25,20,23.25,600
10/1/2008,23.75,23.75,22.5,22.5,4100
10/2/2008,20,22.25,20,21.75,14500
10/3/2008,20.5,20.5,20,20,7500
10/6/2008,16.25,18.75,10,18.75,5900
10/7/2008,18.5,18.5,18.5,18.5,100
10/8/2008,15,25,14.75,18.25,23965
10/9/2008,18.75,18.75,18.5,18.5,200
10/10/2008,15,18.75,14.75,18.75,8700
10/13/2008,18.5,23.75,17.5,22.5,3500
10/14/2008,20.75,22.5,16.5,16.5,24750
10/15/2008,16.25,16.5,15.25,16.5,24000
10/16/2008,12.75,22.5,12.75,22.5,4100
10/17/2008,16.25,22.5,15,22.5,11700
10/20/2008,15,22,15,15,17900
10/21/2008,15,16.25,12.5,12.75,26704
10/23/2008,12.5,12.5,12.5,12.5,560
10/24/2008,12.5,15.5,12.5,15.25,23500
10/27/2008,16.25,16.25,16.25,16.25,1000
10/28/2008,13,13,13,13,776
10/29/2008,13,13,12.75,12.75,11995
10/30/2008,13.75,15,12.75,13,19833
11/3/2008,13,15,12.75,12.75,33600
11/5/2008,14.75,14.75,13.75,13.75,5500
11/6/2008,3.75,15,3.75,15,2300
11/7/2008,12.5,15,12.5,15,2700
11/11/2008,13,15,13,15,8995
11/14/2008,15,15,15,15,100
11/20/2008,15,15,15,15,500
11/25/2008,11.25,11.25,11.25,11.25,444
11/28/2008,13.5,13.5,13.5,13.5,7500
12/1/2008,13.5,13.75,13.5,13.75,100
12/2/2008,13.75,13.75,13.75,13.75,2700
12/3/2008,15,15,15,15,250
12/9/2008,14,14,14,14,500
12/18/2008,14,14,14,14,117
12/24/2008,15,15,15,15,100
12/30/2008,14.75,14.75,14.75,14.75,156
12/31/2008,14.75,15,14.75,15,27850
1/6/2009,17.5,17.5,17.5,17.5,6101
1/7/2009,12.75,12.75,12.5,12.5,2650
1/8/2009,15,16.25,13.75,15,18300
1/9/2009,15,17.5,15,17.5,6000
1/12/2009,17.5,17.5,17.5,17.5,3400
1/13/2009,12.5,20,12.5,20,300
1/14/2009,18.75,18.75,18.75,18.75,5000
1/15/2009,17.5,17.5,17.5,17.5,101
1/20/2009,17.5,17.5,17.5,17.5,15500
1/21/2009,17.5,17.5,16.25,16.25,10000
1/22/2009,16.25,17.5,16.25,17.5,17895
1/23/2009,17.5,17.5,17.5,17.5,11500
1/26/2009,16.25,16.25,16.25,16.25,5000
1/28/2009,16.25,18.75,16.25,18.75,7500
1/29/2009,18.75,18.75,18.75,18.75,5000
1/30/2009,17,17,15,15,14350
2/5/2009,17.5,17.5,17.5,17.5,8000
2/9/2009,17.5,17.5,17.5,17.5,312
2/11/2009,17.5,17.5,17.5,17.5,400
2/17/2009,17.5,17.5,16.25,17.5,22470
2/18/2009,17.5,17.5,12.75,12.75,2426
2/23/2009,17.5,17.5,17.5,17.5,7724
2/24/2009,17.5,17.5,17.5,17.5,10910
2/25/2009,17.5,17.5,17.5,17.5,5000
2/27/2009,16.25,16.25,16.25,16.25,1045
3/2/2009,16.25,16.25,16.25,16.25,500
3/3/2009,16.25,16.25,16.25,16.25,7800
3/4/2009,16.25,29,16.25,29,2084
3/5/2009,25.25,25.25,17.5,17.5,3945
3/12/2009,17.5,17.5,17.5,17.5,500
3/18/2009,17.5,17.5,17.5,17.5,8000
3/19/2009,17.5,17.5,17.5,17.5,120
3/20/2009,17.5,17.5,17.5,17.5,5000
3/23/2009,17.5,17.5,17.5,17.5,6979
3/24/2009,17.5,17.5,17.5,17.5,5000
3/25/2009,18.75,18.75,17.5,17.5,2463
4/8/2009,17.5,17.5,17.5,17.5,5000
4/13/2009,17.5,17.5,17.5,17.5,15000
4/15/2009,17.5,18.75,17.5,18.75,15297
4/17/2009,17.5,17.5,17.5,17.5,5000
4/21/2009,18.75,18.75,17.5,17.5,45900
4/22/2009,16.75,18.75,16.75,18.75,3260
4/23/2009,16.75,18,16.75,18,7616
4/24/2009,18,18,18,18,2500
4/29/2009,18.75,18.75,18.75,18.75,8000
4/30/2009,18.75,18.75,18.25,18.75,13200
5/1/2009,18.75,20,18.75,20,17497
5/5/2009,20,25,20,25,8997
5/6/2009,21.25,21.25,21.25,21.25,2500
5/7/2009,21.25,22.5,21.25,22.5,13498
